"velhold_f_type_kode";"velhold_f_type";"aktiv";"begrebsdefinition";"velhold_f_type_label"
101000;"Prydplæne";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR01"
102000;"Brugsplæne";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR02"
102010;"Brugsplæne med lund";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR02a"
102020;"Brugsplæne med løgvækster";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR02b"
102040;"Brugsplæne med armering";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR02c"
103000;"Græsflade";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR03"
103020;"Græsflade med løgvækst";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR03a"
103040;"Græsflade med armering";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR03b"
104000;"Fælledgræs";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR04"
104010;"Fælledgræs med lund";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR04a"
104020;"Fælledgræs med løgvækst";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR04b"
104040;"Fælledgræs med armering";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR04c"
105000;"Sportsplæne";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR05"
105010;"Sportsplæne - Opvisningsbane";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR05a"
105020;"Sportsplæne - Kampbane";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR05b"
105030;"Sportsplæne - Træningsbane";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR05c"
105050;"Sportsplæne - Vinter";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR05d"
106000;"Rabatgræs";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR06"
106010;"Rabatgræs med lund";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR06a"
106020;"Rabatgræs med løgvækst";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR06b"
106030;"Rabatgræs med oversigtsareal";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR06c"
106040;"Rabatgræs med armering";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR06d"
106050;"Rabatgræs med grøftekant";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR06e"
107000;"Naturgræs";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"GR07"
107010;"Naturgræs med lund";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR07a"
107020;"Naturgræs med blomster";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR07b"
107040;"Naturgræs med armering (p-pladser)";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"GR07c"
121000;"Roser";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BL01"
122000;"Prydstauder";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BL02"
123000;"Staudebed";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BL03"
124000;"Naturstauder";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BL04"
124010;"Naturstauder - Grønt tag";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL04a"
125000;"Udplantningsplanter";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BL05"
125010;"Udplantningsplanter - Plates Bandes bed";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL05a"
125020;"Udplantningsplanter - Forårsblomster";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL05b"
125030;"Udplantningsplanter - Sommerblomster";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL05c"
125040;"Udplantningsplanter - Vinterblomster";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL05d"
126000;"Løgvækster";1;"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse";"BL06"
126010;"Løgtæppe";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL06a"
126020;"Løgvækst i blomsterbed";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL06b"
127010;"Surbundsbed";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL07"
127020;"Urtebed";1;"Lokal standard - skal beskrives i udbudsmaterialet eller lignende";"BL08"
