"elementnummer";"elementtekst";"underelementnummer";"underelementtekst"
12;"Blomster";1280;"Baljeplanter"
14;"Slyng- og klatreplanter";1420;"Slyng- og klatreplanter"
16;"Buske";1612;"Prydbuske"
20;"Træ";2010;"Fuldkronede træer"
20;"Træ";2020;"Fuldkronede træer"
20;"Træ";2030;"Frugttræ"
20;"Træ";2040;"Formet træ"
43;"Bygværker";4321;"Bygværker"
43;"Bygværker";4390;"Bygværker"
44;"Udstyr";4410;"Udstyr"
44;"Udstyr";4411;"Udstyr"
44;"Udstyr";4418;"Udstyr"
44;"Udstyr";4420;"Udstyr"
44;"Udstyr";4430;"Sportsudstyr"
44;"Udstyr";4431;"Sportsudstyr"
44;"Udstyr";4435;"Udstyr"
44;"Udstyr";4440;"Udstyr"
44;"Udstyr";4445;"Udstyr"
44;"Udstyr";4450;"Udstyr"
44;"Udstyr";4451;"Udstyr"
44;"Udstyr";4455;"Udstyr"
44;"Udstyr";4460;"Legeudstyr"
44;"Udstyr";4470;"Belysning"
44;"Udstyr";4480;"Udstyr"
80;"Diverse";8020;"Diverse forhindring"
98;"Andet";9800;"Andet"
99;"Ukendt";9900;"Ukendt"
98;"Andet";9810;"Faskiner"
98;"Andet";9820;"Skaterpark"
