"vedlhold_p_type_kode";"vedlhold_p_type";"aktiv";"vedlhold_p_type_label";"begrebsdefinition"
128000;"Baljeplante";True;"BL9";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
142000;"Solitære slyng- og klatreplante";True;"KL2";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
142010;"Plantestativ";True;"KL2a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
161200;"Prydbusk (solitær/fritstående)";True;"BU3";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
201000;"Fuldkronet træ";True;"TR1";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
201010;"Vejtræ - åbenland";True;"TR1a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
202000;"Allé (træ)";True;"TR2";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
203000;"Frugttræ";True;"TR3";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
204000;"Formet træ";True;"TR4";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
432110;"Overkørsel";True;"BY21a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
439000;"Monument / mindesten / skulptur";True;"BY9";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
439010;"Pullert";True;"BY9a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
439020;"Stele";True;"BY9b";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende (Stele er næsten det samme som en pullert - bare af sten)"
439030;"Natursten";True;"BY9c";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
439040;"Km-sten";True;"BY9d";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
439050;"Flagstang";True;"BY9c";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
441000;"Affaldsspand";True;"UD1";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
441100;"Affaldsbeholder til grønt affald";True;"UD11";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
441800;"Vandpost / drikkepost (Vandhane)";True;"UD18";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
441810;"Springvand";True;"UD18a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
441820;"Nedløbsrist / sandfang";True;"UD18b";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende (kun nedløbsriste, der skal plejes/tømmes)"
441830;"Stophane";True;"UD18c";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende (Kun stophaner der skal benyttes i plejen)"
442000;"Bænk og bordbænkesæt";True;"UD2";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
442010;"Bænk";True;"UD2a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
442020;"Bordbænkesæt";True;"UD2b";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
443010;"Sportsudstyr";True;"UD3a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
443100;"Fodboldmål";True;"UD3";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
443500;"Bålplads / grill";True;"UD35";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
444000;"Informationsskilte";True;"UD4";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
444010;"Pictogrampæl";True;"UD4a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
444020;"Skilt, anden";True;"UD4b";"Ikke vejskilte. Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
444030;"Plakatsøjle";True;"UD4c";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
444500;"Hundeposeholdere";True;"UD45";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
445000;"Redningspost";True;"UD5";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
445020;"Førstehjælp";True;"UD5a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
445030;"Nødtelefon";True;"UD5b";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
445100;"Badebro";True;"UD51";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
445500;"Shelter";True;"UD55";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
445510;"Toilet";True;"UD55a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
446000;"Legeudstyr";True;"UD6";"Se den nye Branchestandard/landsdækkende kvalitetsbeskrivelse"
447010;"Belysning";True;"UD7a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
447020;"Elboks";True;"UD7b";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
448010;"Låge";True;"UD8a";"Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
448020;"Stente";True;"UD8b";"Stente er en overgang over et hegn til mennesker. Lokal Standard - skal beskrives i udbudsmaterialet eller lignende"
802010;"Div. Forhindring - ej pleje";True;"FO2a";"Forhindringer (som ikke vedligeholdes) i f.eks. Brugsplæne, kan vises i kort/liste (Lokal Standard - skal beskrives i udbudsmaterialet eller lignende)"
980000;"Andet";True;"AN3";"Hvor andre facilitetsbetegnelser ikke er dækkende"
981000;"Faskiner";True;"AN02";"Lemvig"
982000;"Skaterpark";True;"AN03";"Lemvig"
990000;"Ukendt";True;"UK3";"Mangler viden om typen"
