"kode";"tekst";"aktiv";"begrebsdefinition"
10;"Privatpersoner, inkl. I/S";1;"Person, firma, forening m.v. Gælder også flere og kombinationer af disse"
20;"Almen boligorganisation";1;"''"
30;"A/S, ApS og andre selskaber";1;"''"
40;"Forening, Legater og Institutioner";1;"''"
41;"Private andelsboligforeninger";1;"''"
50;"Beliggenhedskommune";1;"Den kommune, hvor ejendommen er beliggende. Den kommunale forvaltning - ikke private selskaber ejet 100% af Kommune. F.eks. forsyningsselskaber"
60;"Anden primærkommune";1;"''"
70;"Region";1;"Regionsforvaltningen"
80;"Staten";1;"Staten eller en myndighed under staten f.eks. Naturstyrelsen eller GST"
90;"Andre ejerforhold";1;"Mangler viden til at kune udfylde værdien"
