"hastighed_kode";"hastighed";"aktiv";"begrebsdefinition"
15;"15";1;"15 km i timen (opholds- og legeområde)"
20;"20";1;"20 km i timen"
25;"25";1;"25 km i timen"
30;"30";1;"30 km i timen"
40;"40";1;"40 km i timen"
45;"45";1;"45 km i timen"
50;"50";1;"50 km i timen"
60;"60";1;"60 km i timen"
70;"70";1;"70 km i timen"
80;"80";1;"80 km i timen"
90;"90";1;"90 km i timen"
94;"Meget lav";1;"Svarer til 10-20 jv. Vejreglernes hastighedsklasser "
95;"Lav";1;"Svarer til 30-40 jv. Vejreglernes hastighedsklasser"
96;"Middel";1;"Svarer til 50 jv. Vejreglernes hastighedsklasser"
98;"Andet";1;"Anden hastighed end muligt at vælge på listen."
99;"Ukendt";1;"Ukendt/mangler viden"
110;"110";1;"110 km i timen"
130;"130";1;"130 km i timen"
