"invasivart_kode";"ia_dansknavn";"ia_latinsknavn";"ia_rige";"aktiv";"begrebsdefinition"
1010;"Almindelig pæleorm";"Teredo navalis";"Dyreriget";1;"Dyreriget"
1020;"Amerikansk knivmusling";"Ensis americanus";"Dyreriget";1;"Dyreriget"
1030;"Amerikansk Ribbegople";"Mnemiopsis leidyi";"Dyreriget";1;"Dyreriget"
1040;"Amerikansk Skarveand";"Oxyura jamaicensis";"Dyreriget";1;"Dyreriget"
1050;"Bisamrotte";"Ondatra zibethicus";"Dyreriget";1;"Dyreriget"
1060;"Brun rotte";"Rattus norvegicus";"Dyreriget";1;"Dyreriget"
1070;"Canadagås";"Branta canadensis";"Dyreriget";1;"Dyreriget"
1080;"Galizisk sumpkrebs/Tyrkerkrebs";"Potamobius leptodatylus eller Astacus leptodactylus";"Dyreriget";1;"Dyreriget"
1090;"Harlekinmariehøne";"Harmonia axyridis";"Dyreriget";1;"Dyreriget"
1100;"Iberisk Skovsnegl, ”Dræbersnegl”";"Arion lusitanicus";"Dyreriget";1;"Dyreriget"
1110;"Kastanie-minérmøl";"Cameraria ohridella";"Dyreriget";1;"Dyreriget"
1120;"Kinesisk Uldhåndskrabbe";"Eriocheir sinensis";"Dyreriget";1;"Dyreriget"
1130;"Kongekrabbe/Troldkrabbe/Kamtscatkakrabbe";"Paralithodes camtschaticus";"Dyreriget";1;"Dyreriget"
1140;"Mink";"Mustela vison";"Dyreriget";1;"Dyreriget"
1150;"Mårhund";"Nyctereutes procyonoides";"Dyreriget";1;"Dyreriget"
1160;"Nilgås";"Alopochen aegyptiacus";"Dyreriget";1;"Dyreriget"
1170;"Plettet voldsnegl";"Cantareus aspersus";"Dyreriget";1;"Dyreriget"
1180;"Rødøret Terrapin";"Trachemys scripta";"Dyreriget";1;"Dyreriget"
1190;"Signalkrebs";"Pacifastacus leniusculus";"Dyreriget";1;"Dyreriget"
1200;"Sort Svane";"Cygnus astratus";"Dyreriget";1;"Dyreriget"
1210;"Stillehavsøsters/Japansk østers";"Crassostrea gigas";"Dyreriget";1;"Dyreriget"
1220;"Sumpbæver/Bæverrotte";"Myocastor coypus";"Dyreriget";1;"Dyreriget"
1230;"Vandremusling";"Dreissena polymorpha";"Dyreriget";1;"Dyreriget"
1240;"Vaskebjørn";"Procyon lotor";"Dyreriget";1;"Dyreriget"
1250;"Ålens svømmeblæreorm";"Anguillicola crassus";"Dyreriget";1;"Dyreriget"
2010;"Bjergfyr";"Pinus mugo";"Planteriget";1;"Planteriget"
2020;"Butblæret sargassotang";"Sargassum muticum";"Planteriget";1;"Planteriget"
2030;"Bynke-ambrosie";"Ambrosia artemisiifolia";"Planteriget";1;"Planteriget"
2040;"Canadisk bakkestjerne";"Conyza canadensis";"Planteriget";1;"Planteriget"
2050;"Contortafyr/Klitfyr";"Pinus contorta";"Planteriget";1;"Planteriget"
2060;"Engelsk vadegræs";"Spartina anglica";"Planteriget";1;"Planteriget"
2070;"Glansbladet hæg";"Prunus serotina";"Planteriget";1;"Planteriget"
2080;"Gul kæmpekalla";"Lysichiton americanus";"Planteriget";1;"Planteriget"
2090;"Gyldenris/Canadisk gyldenris/Sildig gyldenris";"Solidago canadensis/Solidago gigantea";"Planteriget";1;"Planteriget"
2100;"Japansk pileurt";"Fallopia japonica";"Planteriget";1;"Planteriget"
2110;"Kæmpe-balsamin";"Impatiens glandulifera";"Planteriget";1;"Planteriget"
2120;"Kæmpe-bjørneklo";"Heracleum mantegazzianum";"Planteriget";1;"Planteriget"
2130;"Kæmpe-pileurt";"Fallopia sachalinensis";"Planteriget";1;"Planteriget"
2140;"Mangebladet lupin";"Lupinus polyphyllus";"Planteriget";1;"Planteriget"
2150;"Pastinak";"Pastinaca sativa";"Planteriget";1;"Planteriget"
2160;"Rød hestehov";"Petasites hybridus";"Planteriget";1;"Planteriget"
2170;"Rynket rose";"Rosa rugosa";"Planteriget";1;"Planteriget"
9998;"Andet";"-";"-";1;"-"
9999;"Ukendt";"-";"-";1;"-"
