"oprindkode";"oprindelse";"aktiv";"begrebsdefinition"
0;"Ikke udfyldt";1;"''"
1;"Ortofoto";1;"Der skelnes ikke mellem forskellige producenter og forskellige årgange"
2;"Matrikelkort";1;"Matrikelkort fra KMS (København og Frederiksberg). Det forudsættes, at der benyttes opdaterede matrikelkort for datoen for planens indberetning"
3;"Opmåling";1;"Kan være med GPS, andet instrument el. lign. Det er ikke et udtryk for præcisi-on, men at det er udført i marken"
4;"FOT / Tekniske kort";1;"FOT, DTK, Danmarks Topografisk kortværk eller andre raster kort samt kommunernes tekniske kort eller andre vektorkort. Indtil FOT er landsdækkende benyttes kort10 (jf. overgangsregler for FOT)"
5;"Modelberegning";1;"GIS analyser eller modellering"
6;"Tegning";1;"Digitaliseret på baggrund af PDF, billede eller andet tegningsmateriale"
7;"Felt-/markbesøg";1;"Registrering på baggrund af tilsyn i marken"
8;"Borgeranmeldelse";1;"Indberetning via diverse borgerløsninger - eks. 'Giv et praj'"
9;"Luftfoto (historiske 1944-1993)";1;"Luftfoto er kendetegnet ved ikke at have samme nøjagtighed i georeferingen, men man kan se en del ting, der ikke er på de nuværende ortofoto."
10;"Skråfoto";1;"Luftfoto tager fra de 4 verdenshjørner"
11;"Andre foto";1;"Foto taget i jordhøjde - 'terræn foto' (street-view, sagsbehandlerfotos, borgerfotos m.v.)Her er det meget tydeligt at se de enkelte detaljer, men også her kan man normalt ikke direkte placere et punkt via fotoet, men må over at gøre det via noget andet."
12;"3D";1;"Laserscanning, Digital terrænmodel (DTM) afledninger, termografiske målinger (bestemmelse af temperaturforskelle) o.lign."
