"postnr";"postnr_by";"kommuner"
"6200";"Aabenraa";"0580 Aabenraa"
"9440";"Aabybro";"0810 Brønderslev, 0849 Jammerbugt, 0851 Aalborg"
"3720";"Aakirkeby";"0400 Bornholm"
"9000";"Aalborg";"0851 Aalborg"
"9200";"Aalborg SV";"0851 Aalborg"
"9210";"Aalborg SØ";"0851 Aalborg"
"9220";"Aalborg Øst";"0851 Aalborg"
"9620";"Aalestrup";"0791 Viborg, 0820 Vesthimmerlands, 0840 Rebild, 0846 Mariagerfjord"
"8000";"Aarhus C";"0751 Aarhus"
"8200";"Aarhus N";"0751 Aarhus"
"8210";"Aarhus V";"0751 Aarhus"
"9600";"Aars";"0820 Vesthimmerlands, 0840 Rebild"
"5560";"Aarup";"0410 Middelfart, 0420 Assens, 0480 Nordfyns"
"5320";"Agedrup";"0461 Odense"
"6753";"Agerbæk";"0573 Varde, 0575 Vejen"
"6534";"Agerskov";"0510 Haderslev, 0550 Tønder, 0580 Aabenraa"
"4244";"Agersø";"0330 Slagelse"
"2620";"Albertslund";"0153 Brøndby, 0161 Glostrup, 0165 Albertslund"
"3450";"Allerød";"0201 Allerød, 0210 Fredensborg, 0219 Hillerød"
"3770";"Allinge";"0400 Bornholm"
"8961";"Allingåbro";"0707 Norddjurs"
"6051";"Almind";"0621 Kolding"
"8592";"Anholt";"0707 Norddjurs"
"8643";"Ans By";"0740 Silkeborg, 0791 Viborg"
"6823";"Ansager";"0530 Billund, 0573 Varde"
"9510";"Arden";"0840 Rebild, 0846 Mariagerfjord"
"9340";"Asaa";"0810 Brønderslev, 0813 Frederikshavn"
"4792";"Askeby";"0390 Vordingborg"
"4942";"Askø";"0360 Lolland"
"4550";"Asnæs";"0306 Odsherred"
"5466";"Asperup";"0410 Middelfart"
"5610";"Assens";"0410 Middelfart, 0420 Assens"
"6440";"Augustenborg";"0540 Sønderborg"
"7490";"Aulum";"0657 Herning"
"8963";"Auning";"0706 Syddjurs, 0707 Norddjurs, 0730 Randers"
"5602";"Avernakø";"0430 Faaborg-Midtfyn"
"5935";"Bagenkop";"0482 Langeland"
"2880";"Bagsværd";"0159 Gladsaxe, 0163 Herlev, 0190 Furesø"
"8444";"Balle";"0706 Syddjurs, 0707 Norddjurs"
"2750";"Ballerup";"0151 Ballerup, 0240 Egedal"
"4941";"Bandholm";"0360 Lolland"
"7150";"Barrit";"0766 Hedensted"
"6210";"Barsø";"0580 Aabenraa"
"8330";"Beder";"0751 Aarhus"
"7755";"Bedsted Thy";"0787 Thisted"
"6541";"Bevtoft";"0510 Haderslev, 0550 Tønder"
"6852";"Billum";"0573 Varde"
"7190";"Billund";"0530 Billund, 0630 Vejle"
"9881";"Bindslev";"0813 Frederikshavn, 0860 Hjørring"
"3460";"Birkerød";"0190 Furesø, 0201 Allerød, 0230 Rudersdal"
"5965";"Birkholm";"0492 Ærø"
"8850";"Bjerringbro";"0710 Favrskov, 0791 Viborg"
"6091";"Bjert";"0621 Kolding"
"4632";"Bjæverskov";"0259 Køge"
"5603";"Bjørnø";"0430 Faaborg-Midtfyn"
"9492";"Blokhus";"0849 Jammerbugt"
"5491";"Blommenslyst";"0461 Odense, 0480 Nordfyns"
"6857";"Blåvand";"0573 Varde"
"4242";"Boeslunde";"0330 Slagelse"
"5400";"Bogense";"0480 Nordfyns"
"4793";"Bogø By";"0390 Vordingborg"
"6392";"Bolderslev";"0580 Aabenraa"
"7441";"Bording";"0740 Silkeborg, 0756 Ikast-Brande"
"4791";"Borre";"0390 Vordingborg"
"4140";"Borup";"0259 Køge, 0265 Roskilde, 0329 Ringsted"
"8220";"Brabrand";"0751 Aarhus"
"6740";"Bramming";"0561 Esbjerg"
"7330";"Brande";"0630 Vejle, 0657 Herning, 0756 Ikast-Brande"
"6535";"Branderup J";"0550 Tønder"
"6261";"Bredebro";"0550 Tønder"
"7182";"Bredsten";"0630 Vejle"
"5464";"Brenderup Fyn";"0410 Middelfart, 0480 Nordfyns"
"6310";"Broager";"0540 Sønderborg"
"5672";"Broby";"0430 Faaborg-Midtfyn"
"9460";"Brovst";"0849 Jammerbugt"
"8654";"Bryrup";"0615 Horsens, 0740 Silkeborg, 0756 Ikast-Brande"
"8740";"Brædstrup";"0615 Horsens, 0740 Silkeborg"
"2605";"Brøndby";"0153 Brøndby, 0161 Glostrup"
"2660";"Brøndby Strand";"0153 Brøndby, 0167 Hvidovre"
"9700";"Brønderslev";"0810 Brønderslev, 0849 Jammerbugt"
"2700";"Brønshøj";"0101 København"
"6650";"Brørup";"0575 Vejen"
"6372";"Bylderup-Bov";"0580 Aabenraa"
"6622";"Bække";"0575 Vejen"
"7660";"Bækmarksbro";"0665 Lemvig, 0671 Struer"
"9574";"Bælum";"0840 Rebild, 0851 Aalborg"
"7080";"Børkop";"0630 Vejle"
"7650";"Bøvlingbjerg";"0665 Lemvig"
"2920";"Charlottenlund";"0157 Gentofte"
"6070";"Christiansfeld";"0510 Haderslev, 0621 Kolding"
"5380";"Dalby";"0440 Kerteminde"
"4261";"Dalmose";"0330 Slagelse, 0370 Næstved"
"4983";"Dannemare";"0360 Lolland"
"8721";"Daugård";"0630 Vejle, 0766 Hedensted"
"4293";"Dianalund";"0326 Kalundborg, 0340 Sorø"
"2791";"Dragør";"0155 Dragør, 0185 Tårnby"
"9330";"Dronninglund";"0810 Brønderslev, 0813 Frederikshavn"
"3120";"Dronningmølle";"0270 Gribskov"
