"maalsaetning_kode";"maalsaetning";"aktiv";"begrebsdefinition"
1;"A-målsætning - Særligt naturområde";1;"A: Skærpet målsætning Vandløb med skærpet målsætning er oftest vandløb, som er upåvirket eller kun svagt påvirket af menneskelig aktivitet, for eksempel skovvandløb og kilder, som er uregulerede og som ikke er regelmæssigt vedligeholdt. Der kan i enkelte tilfælde også være tale om vandløb, som rummer en speciel fiske- eller insektfauna eller på anden måde er særligt bevaringsværdige, og som derfor udpeges som særligt naturområde, f.eks. vandløb med særlige geologiske, hydrologiske, kulturhistoriske eller landskabelige bevaringsinteresser. Særligt naturområde"
2;"B0-målsætning - Alsidigt dyre- og planteliv";1;"B0 Alsidigt dyre- og planteliv (Denne målsætning var i tidligere planer benævnt B4). B0-målsætningen anvendes for små vandløb, der ikke kan opfylde alle de fysiske krav til en fiskevandsmålsætning. Det er karakteristisk for B0-målsatte vandløb, at de har en god fysisk variation, fordi de er uregulerede, men de er ofte sommerudtørrende, fordi de har et lille opland"
3;"B1-målsætning - Gyde- og yngel opvækstområde for laksefisk";1;"B1 Gyde- og yngelopvækstområde for laksefisk B1-målsætningen anvendes i små til mellemstore vandløb, som kan anvendes som gyde- og yngelopvækstområde for laksefisk, primært ørred. Det er typisk vandløb med hurtigt strømmende vand og grusbund og med stor fysisk variation."
4;"B2-målsætning - Laksefiskvand";1;"B2 Laksefiskvand B2-målsætningen anvendes oftest i de lidt større vandløb med god fysisk variation, og som kan være levested for de større laksefisk, primært ørred."
5;"B3-målsætning - Karpefiskevand";1;"B3 Karpefiskvand B3-målsætningen (karpefiskvand, f.eks. ål, aborre og gedde) anvendes typisk for vandløbsstrækninger, hvor der er ringe fald og dermed sand- eller mudderbund uden større fysisk variation."
6;"B4";1;"Mangler beskrivelse"
7;"C-målsætning - Kun afledning af vand";1;"C: Lempet målsætning. De lempede målsætninger anvendes for vandløbsstrækninger, hvor det accepteres, at den menneskeskabte påvirkning ændrer vandløbskvaliteten og dyre- og plantelivet stærkt, bl.a. således at disse vandløb ikke kan påregnes at være levesteder for fisk. C Kun afledning af vand. C-målsætningen anvendes typisk for gravede pumpekanaler eller afvandingsgrøfter, der ikke er omfattet af naturbeskyttelseslovens §3."
8;"D-målsætning - Påvirket af spildevand";1;"D Påvirket af spildevand D-målsætningen anvendes på vandløbsstrækninger, som i væsentlig grad tillades påvirket af spildevand. Det er typisk tilfældet, hvor hovedparten af vandføringen består af spildevand."
9;"E-målsætning - Påvirket af okker";1;"E Påvirket af grundvandsindvinding E-målsætningen er ikke anvendt for vandløb i Århus Amt. Eksisterende vandindvindinger til byformål påvirker vandføringen især i vandløb i Århus-området. Gennem særlig god spildevandsrensning og accept af, at vandføring og fiskebestand er mindsket, kan disse vandløb opfylde en generel målsætning. I Giber å opnås denne generelle målsætning dog kun ved, i tørre perioder, at udlede opmagasineret overfladevand og at udpumpe grundvand til åen."
10;"F";1;"Mangler beskrivelse"
11;"Vandløb uden målsætning";1;"Der er ikke sat en målsætning for vandløbet"
