"spaerring_type_kode";"spaerring_type";"aktiv";"begrebsdefinition"
1;"Bro";1;"Betonbroer m.fl. som går over åen og forhindre passage af landdyr uden at krydse vejen/jernbanen"
2;"Brøndstyrt";1;"Lodret fald i en brønd. Brugt bl.a. til opstemning af mindre sø. Forekommer også ved rørlagte vandløb der f.eks. skal skifte kote for at komme under en vej."
3;"Frontmur";1;"Et bygværk på tværs af et vandløb - et afgrænsende bygningselement ud mod et vandløb typisk med indbygget rør til ind-/udløb."
4;"Opstemning";1;"Opstemning af vandløb. Typisk ved et dambrug"
5;"Reguleringsanlæg";1;"Anlæg til at regulere hvor meget vand der løbet videre"
6;"Rist";1;"Rist til at opfange ting i vandløbet."
7;"Rørbro";1;"I stedet for at bygge en bro er der lagt et stort rør. Ofte kun en halvcirkel. Dvs. et rør uden bund."
8;"Rørgennemførsel";1;"Der er opbygget en dæmning til vej/jernbane, hvor vandløbet føres igennem med et rør"
9;"Rørlægning";1;"Rørlægning af et vandløb. Ikke kun under vej/jernbane."
10;"Rørstyrt";1;"Hvor der er et fald fra røret til vandløbets overflade ved lav vandføring."
11;"Spærring Dambrug";1;"Spærring ved dambrug. Forhindre passage af dyr i vandløbet ved f.eks. periodevis tørlægning"
12;"Stemmeværk";1;"En konstruktion udført som en dæmning beregnet til at opstemme og kontrollere vandmængder hvor tilløbende vand bliver holdt tilbage indtil værkets overkant/ krone bliver nået og skaber overløb over denne"
13;"Stenkiste";1;"Bro opbygget af tilhugget kampesten. Typisk gamle broer."
14;"Styrt, andet";1;"Hvor der er et lodret fald på vandløbet, som ikke er fra rør eller i en brønd."
15;"Vej";1;"Hvor en vej krydser en spredningskorridor."
16;"Ålekiste";1;"Et redskab til fangst af ål, og benyttes både i mindre vandløb eller bække i en meget primitiv form som en kasse."
17;"Bro på piller";1;"Vej/jernbanebro der er sat på piller gennem del af f.eks. ådalen for at øge muligheden for landdyrs passage."
98;"Anden spærring";1;"Spærring hvor andet ikke er dækkende."
99;"Ukendt spærring";1;"Fået oplyst der er en spærring, men arten er ukendt. Typisk fra borger eller gammelt register."
