"element_kode";"element";"aktiv";"begrebsdefinition"
1;"Brønd";1;"Brønd på rørlagt vandløb"
2;"Sandfangsbrønd";1;"Sandfangsbrønd"
3;"Sandfang";1;"Sted på vandløbet hvor der kunstigt er skabt mulighed for sand bundfældes."
4;"Rist";1;"Rist til at opfange ting i vandløbet."
5;"Pumpe";1;"Pumpe"
6;"Sluse";1;"Mekanisk anordning til regulering af vandstanden."
7;"Stemmeværk";1;"En konstruktion udført som en dæmning beregnet til at opstemme og kontrollere vandmængder, hvor tilløbende vand bliver holdt tilbage indtil værkets overkant/ krone bliver nået og skaber overløb over denne"
8;"Bro";1;"Bro"
9;"Spang";1;"Lille bro/bræt over vandløb"
10;"Åbent tilløb venstre";1;"Tilløb af åbent vandløb fra venstre side"
11;"Åbent tilløb højre";1;"Tilløb af åbent vandløb fra højre side"
12;"Rørtilløb venstre";1;"Tilløb af rørlagt vandløb fra venstre side"
13;"Rørtilløb højre";1;"Tilløb af rørlagt vandløb fra højre side"
14;"Stationeringspunkt";1;"Punkt til angivelse af stationering i meter"
15;"Styrt";1;"Lodret/frit fald"
16;"Overkørsel";1;"Mindre/smal overdækning af mindre vandløb, der giver mulighed for at køre på tværs"
17;"Rørbro";1;"Bro bygget op af et rør, hvor vandet løber igennem"
18;"Indløb rør/frontmur";1;"Hvor vandløb løber ind i røret"
19;"Udløb rør/frontmur";1;"Hvor vandløb kommer ud af røret"
20;"Kantpæl";1;"Pæl i vandkanten til markering af vandløb"
21;"Skala";1;"Skala til at aflæse vandstanden i vandløbet"
22;"Stryg";1;"Strækning med stort fald på vandløbet med mange sten"
23;"Udløb/ende på vandløb";1;"Udløb/enden på vandløbet f.eks. i en sø eller andet større vandløb"
24;"Ledning under";1;"Tele-, Gas-, Kloak-, El- eller Vandledninger eller tilsvarende ledninger"
98;"Andet";1;"Andet"
99;"Ukendt";1;"Ukendt"
