"gc_type_kode";"gc_type";"aktiv";"begrebsdefinition"
1;"Glas";1;"Flasker og andre typer glas fra madlavning"
2;"Papir";1;"Aviser, reklamer og andet rent papir"
3;"Batterier";1;"Brugte batterier"
4;"Dåser";1;"Dåser i metal"
5;"Tøj";1;"Brugt tøj der kan genbruges som tøj"
6;"Miljøstationer";1;"Modtager miljøfarligt affald som malingsrester, kemikalier m.v."
7;"Husholdningsaffald";1;"Blandet affald fra husholdning med madrester og meget mere."
8;"Pap";1;"Rent pap, papkasser, bølgepap"
9;"Metal";1;"Metallåg o.lign."
10;"Plast";1;"Plastflasker, dunke m.v."
98;"Andet";1;"Hvor ovenstående ikke passer ind i genbrugsmaterialet"
99;"Ukendt";1;"Hvor der mangler viden om typen."
