"vinter_klasse_kode";"vinterklasse";"aktiv";"begrebsdefinition"
1;"vej_klasse I";1;"Veje som har afgørende betydning for fjerntrafikken."
2;"vej_klasse II";1;"Veje som har betydning for fjerntrafikken og/eller afgørende betydning for afvikling af den gennemkørende  trafik."
3;"vej_klasse III";1;"Veje som har betydning for afvikling af den gennemkørende og/eller kollektive trafik, eller afgørende betydning for afvikling af den lokale nærtrafik."
4;"vej_klasse IV";1;"Veje som har betydning for afvikling af den lokale nærtrafik."
5;"vej_klasse V";1;"Veje som har mindre betydning for afvikling af trafikken. Der er ikke fællesfastlagte servicemål for denne vintervejklasse"
6;"vej_klasse VI";1;"Veje som betjener enkeltbruger områder og mindre boligveje. Der er ikke fællesfastlagte servicemål for denne vintervejklasse"
11;"sti_klasse I";1;"Sti eller serviceområde med afgørende betydning for færdsel til fods eller på cykel (fx til skoler, som del af supercykelstirute eller lign.) – højeste serviceniveau"
12;"sti_klasse II";1;"sti eller serviceområde med betydning for færdsel til fods eller på cykel – højt serviceniveau"
13;"sti_klasse III";1;"Stier med mindre betydning for færdsel til fods eller på cykel – lavt serviceniveau"
14;"sti_klasse IV";1;"Stier med mindst betydning for færdsel til fods eller på cykel – laveste serviceniveau)"
99;"Andet/Ved ikke";1;"Hvis der anvendes en anden vinterklasse end ovennævnte."
