"hasti_type_kode";"hasti_type";"aktiv";"begrebsdefinition"
1;"Forvarsling";1;"Varsling typisk i form af skilte om der kommer en hastighedsdæmpende foranstaltning."
2;"Port";1;"En visuel markering af en byport. Typisk med beplantning, belægningsskift, portaler, belysning og/eller indsnævring"
3;"2-sporet bump";1;"Bump der dækker 2 spor (typiske begge retninger)."
4;"2-sporet hævet flade";1;"Hævet vejflade der dækker 2 spor (typisk begge retninger) mindste længde 10 meter."
5;"Forsætning";1;"Forskydning af vejen til siden (parallelt)"
6;"2-sporet indsnævring fra vejmidte";1;"Helle anlæg mellem kørselsretningerne, men uden at øge den samlet vejbredde tilsvarende, så det enkelte kørespor bliver smallere."
7;"2-sporet indsnævring fra vejkant";1;"Over en kort strækning er vejbredden smallere, men der er stadigvæk to spor."
8;"Indsnævring til 1 spor";1;"Det ene spor blokeres fysisk med blomsterkasse, helle med træ eller lign."
9;"Indsnævring til 1 spor med bump";1;"Bump samtidigt med det ene spor blokeres fysisk med blomsterkasse, helle med træ eller lign."
10;"Indsnævring til 1 spor med hævet flade";1;"Hævet flade samtidigt med det ene spor blokeres fysisk med blomsterkasse, helle med træ eller lign."
11;"Forsætning med indsnævring til 1 spor";1;"Begge spor blokeres forskudt fysisk med blomsterkasse, helle med træ eller lign. Så der kun er et spor tilbage igennem slusen."
12;"Forsætning med indsnæv-ring til 1 spor og bump";1;"Hævet flade samtidig med at det ene spor blokeres fysisk med blomsterkasse, helle med træ eller lign."
13;"Forsætning med indsnævring til 1 spor og hævet flade";1;"Begge spor blokeres forskudt fysisk med blomsterkasse, helle med træ eller lign. Så der kun er et spor tilbage igennem slusen. Udfor eller mellem hver blokering er der en hævet flade."
14;"Rundkørsel";1;"Rundkørsel (ensrettet kørsel omkring en ""ø"")"
15;"Cirkelformet bump";1;"Bump der fra siden har form som en cirkelbue - en del af en cylinderflade."
16;"Modificeret cirkelbump";1;"Bump der fra siden har form som en cirkelbue, men flader ud så den fanger vej i en blød overgang."
17;"Modificeret sinusbump";1;"Bump der fra siden har form som en sinuskurve, men flader ud så den fanger vej i en blød overgang."
18;"Kuppelformet bump";1;"Bump der har form som en kuppel - en del af en kugleflade."
19;"Trapezformet bump";1;"En plan flade med ramper i en ret linje."
20;"Trapezbump med modificeret rampe";1;"En plan flade med ramper i en blød kurve linje."
21;"Kombibump";1;"2 forskellige bump typer inde i hinanden, hvor busser m.v. benytter den ene og biler benytter den anden. Normalt to sæt ramper med forskellige afstand."
22;"Pudebump";1;"Et smalt bump, der tillader store køretøjer at skræve henover bumpet, således at kun mindre køretøjer mærker bumpet ved passage. Der er et pudebump i hvert kørespor."
23;"Pukkelbump";1;"Flere mindre kuppelformede bump, der placeres forskudt i forhold til hinanden. Også kaldet mushrooms, paddehatte, mariehøns eller skildpadder."
24;"Præfabrikeret permanent bumptype";1;"Bump der er fremstillet på en virksomhed og stillet færdige op."
25;"Midlertidig bump";1;"Bump der opsættes til en særlig lejlighed/i kortere tidsrum."
26;"Variabel bump";1;"Bump, der giver efter og jævnes ud, når det passeres af busser og andre store køretøjer."
27;"Rumlefelt";1;"Felt med afvigende belægning eller tværgående smalle striber, der afgiver lyd og skaber opmærksomhed, når man kører henover det"
98;"Andet";1;"Hvor ovenstående ikke er dækkende."
99;"Ukendt";1;"Hvor der mangler viden om typen"
