"kode";"tekst";"aktiv";"begrebsdefinition"
1;"Pullert";1;"Pæl eller stolpe"
2;"Trafikskilte";1;"Trafikskilte med f.eks. vigepligt, parkeringsforbud m.v."
3;"Rampe";1;"Skrående flade, der giver niveaufri passage"
4;"P-automater";1;"Automat til at købe parkeringsbillet i."
5;"Signalanlæg (lyssignaler)";1;"Lysregulering typisk i vejkryds."
6;"Vejnavneskilt";1;"Skiltet med vejens navn"
7;"Belysning";1;"Gadelys"
8;"Pumpestation";1;"Pumpestation for vejanlæg"
9;"El-skab";1;"Skab hver der elektriske installationer m.v."
10;"Spærrebum";1;"Spærrebum til blokering af"
11;"Fartmåler";1;"Fast fartmåler"
12;"Tællerstation";1;"Installation der automatisk tæller biler m.v."
13;"P-henvisninger";1;"Skilte med henvisning til p-plads samt antal frie pladser til rådighed"
14;"Cykelbarometer";1;"Pylon/skilt med optælling af cyklister"
15;"Højdevarsling";1;"Skilt med signallys, der advarer for høje køretøjer mod at køre ind i ex. bro"
16;"Cykelpumpe-station";1;"Facilitet til pumpning af cykler"
17;"Fodhviler";1;"Installation til cyklister, som venter på grønt lys i cykelbyen. Cyklistgelænder kaldes den også. Her kan cyklisten støtte foden på fodstykket og tage et greb i gelænderet, så de er fri for at stige af sadlen, mens trafikken kører forbi."
18;"Cykelstativ";1;"Fast konstruktion til parkering af cykler"
19;"Cykelsluse";1;"Forhindring, der hindrer større køretøjer på cykelstien og/eller tvinger hastigheden ned i forbindelse med krydsning af vej eller anden sti"
20;"Fodhegn";1;"Lavt hegn, der skal tvinge fodgængere og cyklister til at følge den planlagte linjeføring"
21;"Autoværn";1;"Adskillelse mellem vejbaner eller vej og fortov"
98;"Andet";1;"Andet"
99;"Ukendt";1;"Manglende viden"
