"p_brug_kode";"p_brug";"aktiv";"begrebsdefinition"
1;"Personbil";1;"Bil til transport af personer, med i reglen 2-5"
2;"Handicapbil";1;"Parkeringspladser afmærket med et kørestolssymbol er reserveret til bilister med handicap. For at benytte disse parkeringspladser, skal man have et Handicapparkeringskort liggende synligt i forruden"
3;"El-bil";1;"Biler, der kun eller delvist anvende el som drivmiddel"
4;"El-bil (under opladning)";1;"El-biler med evt. tidsbegrænset til den periode, hvor de oplader fra stander ved p-pladsen."
5;"Delebil";1;"Bil der stilles til rådighed af delebilsforening eller af offentligt tilgængelige delebils-ordninger"
7;"Lastbil";1;"Lastbil, motorkøretøj beregnet til transport af gods. I lovgivningen defineres en lastbil som en bil beregnet til godsbefordring med en typegodkendt totalvægt på mere end 3500 kg."
8;"Lastbil (under opladning)";1;"Eldrevne lastbil med evt. tidsbegrænset til den periode, hvor de oplader fra stander ved p-pladsen."
9;;0;"Reserveret udvidelse af ”begrebet” Lastbil"
10;;0;"Reserveret udvidelse af ”begrebet” Lastbil"
11;"MC";1;"Motorcykler"
12;"MC (under opladning)";1;"Eldrevne motorcykler med evt. tidsbegrænset til den periode, hvor de oplader fra stander ved p-pladsen."
20;"Erhvervskøretøj";1;"Køretøj med særlig nummerpladetype"
21;"Taxa-holdeplads";1;"Særligt afmærket område, fx ved togstation eller lufthavn, hvor taxaer kan holde når de ikke er i brug"
22;;0;"Reserveret udvidelse med andre ”motorkøretøj”"
23;;0;"Reserveret udvidelse med andre ”motorkøretøj”"
50;"Cykler ('stativløs parkering')";1;"Alle typer af cykler"
51;"Cykler (under ladning)";1;"El-cykler med evt. tidsbegrænset til den periode, hvor de oplader fra stander ved p-pladsen"
52;"Cykler (overdækket)";1;"Pladser til cykler i overdækket cykelskur"
53;"Cykler (aflåst)";1;"Pladser til cykler i aflåst cykelskur"
55;"Cykelstativ (Lodrette forhjulsholdere)";1;"Lodrette kileformede forhjulsholder, som er anvendeligt til de allerfleste formål, og cykeltyper med forskellige dækbredder."
55;"Cykelstativ (Lænestativer)";1;"Stativer, som cyklen kan lænes og låses op ad"
56;"Cykelstativ (Styrholdere)";1;"Beregnet til at gribe om cyklernes styr med en klo"
57;"Cykelstativ (Vandrette forhjulsholdere)";1;"Den vandrette - eller liggende - forhjulsholder har ofte en mellemrumsbredde, som får de fleste cykler til at hælde kraftigt."
58;"Cykelstativ (To-etagers stativer)";1;"To-etagers stativer anvendes ofte, hvor der er behov for at parkere et stort antal cykler på et begrænset areal."
59;"Cykelstativ (Tyverisikrede - herunder automatiske";1;"Cykelstativer med supplerende låseanordninger"
60;"Cykelbokse";1;"Cykelbokse anvendes typisk ved større parkeringsanlæg med behov for sikker langtidsparkering - herunder omkring større kollektive trafikknudepunkter, Park and Ride anlæg og ved  større  boligkomplekser  og  virksomheder."
61;"Cykelstativ (Midlertidige)";1;"Midlertidige cykelstativer kan anvendes f.eks ved større arrangementer, koncerter, sæsonafgrænsede aktiviteter, mm., med behov for cykelparkering i en kortere periode."
62;"Cykelstativ (ladcykelparkering)";1;"Stativer indrettet med mere plads ift. parkering af ladcykler"
63;;0;"Reserveret udvidelse med andre ”lette køretøjer”, f.eks. løbehjul mm."
64;;0;"Reserveret udvidelse med andre ”lette køretøjer”, f.eks. løbehjul mm."
99;"Ukendt";1;"Ukendt parkeringsbrug"
