"prog_distrikt_type_kode";"prog_distrikt_type";"aktiv";"begrebsdefinition"
1;"-";0;"-"
2;"-";0;"-"
3;"-";0;"-"
4;"-";0;"-"
5;"-";0;"-"
6;"-";0;"-"
7;"-";0;"-"
8;"-";0;"-"
9;"-";0;"-"
10;"-";0;"-"
11;"Basisdistrikt";1;"Distrikt til beregning af befolkningsprognoser"
12;"Konstantområder";1;"Områder, der bruges til at lave korrektioner i analyser og specielt befolkningsprognoser. Det kan være plejeboliger, ældreboliger og andre institurioner eller områder. Områderne kan desuden i kombination med andre data være meget personfølsomme."
98;"Andet";1;"Andre distrikter"
99;"Ukendt";1;"Ukendt"
