"botilbud_type_kode";"botilbud_type";"aktiv";"begrebsdefinition"
1;"-";0;"-"
2;"-";0;"-"
3;"-";0;"-"
4;"-";0;"-"
5;"-";0;"-"
6;"-";0;"-"
7;"-";0;"-"
8;"-";0;"-"
9;"-";0;"-"
10;"-";0;"-"
11;"-";0;"-"
12;"Plejecenter";1;"Botilbud for alment svækkede borgere. Indtil 2005 betegnet plejehjem"
13;"Plejebolig";1;"Boliger for personer, oftest ældre, der ikke kan klare sig i eget hjem eller i en ældrebolig."
14;"-";0;"-"
15;"-";0;"-"
16;"-";0;"-"
17;"-";0;"-"
18;"-";0;"-"
19;"-";0;"-"
20;"-";0;"-"
21;"-";0;"-"
22;"-";0;"-"
23;"-";0;"-"
24;"-";0;"-"
25;"-";0;"-"
26;"-";0;"-"
27;"-";0;"-"
28;"-";0;"-"
29;"-";0;"-"
30;"Døgninstitution";1;"Botilbud for børn og unge (0 – 17 årige). Der bor flere beboere på botilbuddet"
31;"Pleje familie";1;"Botilbud for børn og unge (0 – 17 årige). Der bor typisk 1 – 2 anbragt børn eller unge."
32;"Særligt botilbud";1;"Botilbud tilpasset borgere medsærligt behov. Botilbuddet kan f.eks. være rettet med autister, blinde, psykisk syge mv."
33;"Genoptræningscenter";1;"Botilbud rettet mod genoptræning til eget hjem. Beboer har typisk ikke CPR-adresse på tilbuddet."
34;"Hospital";1;"Botilbud rettet mod behandling af psykiske eller fysisk sygdom. Beboer har typisk ikke CPR-adresse på tilbuddet."
35;"Fængsel";1;"Botilbud oprettet i henhold til retsplejeloven"
36;"Hospice";1;"Botilbud rettet mod terminal behandling af døende borgere"
37;"Herberg";1;"Botilbud rettet mod hjemløse"
38;"Bostøttebolig";1;"Bolig hvor der ydes hjælp, omsorg eller støtte samt optræning og hjælp til udvikling af færdigheder til personer, der har behov herfor på grund af betydelig nedsat fysisk eller psykisk funktionsevne eller særlige sociale problemer.  Praktisk/pædagogisk støtte (bostøtte) tilbydes jf. Servicelovens § 85 (Lov om Social Service§ 85)"
39;"Flygtningebolig";1;"Bolig der kan anvises til flygtning i henhold til integrationslovens § 12"
40;"Ældrebolig";1;"Ældreboliger er defineret som boliger tilpasset ældre personer og personer med handicap."
98;"Øvrige botilbud";1;"Andre botilbud"
99;"Ukendt";1;"Ukendt botilbudstype"
