"service_type_kode";"service_type";"aktiv";"begrebsdefinition"
1;"-";0;"-"
2;"-";0;"-"
3;"-";0;"-"
4;"-";0;"-"
5;"-";0;"-"
6;"-";0;"-"
7;"-";0;"-"
8;"-";0;"-"
9;"-";0;"-"
10;"-";0;"-"
11;"-";0;"-"
12;"-";0;"-"
13;"-";0;"-"
14;"-";0;"-"
15;"-";0;"-"
16;"-";0;"-"
17;"Rådhus";1;"Et rådhus er en bygning for centraladministrationen i en kommune, hvor blandt andetkommunalbestyrelsen holder til"
18;"Borgerservice";1;"Borgerens indgang til den offentlige sektor."
19;"Bibliotek";1;"Et bibliotek er en institution, der stiller bøger, tidsskrifter, aviser, musik, film og andet materiale til rådighed for lån eller læsning på stedet."
20;"Tandpleje";1;"Tandpleje (gratis tandlægebesøg) for børn og unge under 18 år"
21;"Medborgerhus";1;"Et medborgerhus er en betegnelse for en kulturinstitution, der står til rådighed for en by eller en egns befolkning i f.m. kultur-, forenings- og fritidstilbud. Begrebet Medborgerhuskan relateres til det mere historiske begreb forsamlingshuset, når vi skuer baggrund – og begrebet kulturhus, når vi ser fremefter. Hjemsted for en stor del af kommunens foreningsliv. Udlåner/udlejer lokaler til f.eks. møder, foredrag og kurser"
22;"Kulturhus";1;"En samling af forskellige faciliteter under samme tag. F.eks. musiksteder, biografer, foreninger, idrætsfaciliteter, restaurenter, koncertsale, teater, børnekultur, danseforestillinger, møder, lokale foreninger, motionsfaciliteter, markeder, udstillingslokaler, kreative værksteder m.v."
23;"-";0;"-"
24;"-";0;"-"
25;"-";0;"-"
26;"-";0;"-"
27;"-";0;"-"
28;"-";0;"-"
29;"-";0;"-"
30;"Dagcenter";1;"Aktivitetsprægede tilbud med formål at øge og bevare brugernes muligheder for at klare selv, f.eks. ved at forebygge forringelse af den fysiske funktionsevne eller af social isolation."
31;"Fysioterapiklinik";1;"Klinik til genoptræning til afhjælpning af fysisk funktionsnedsættelse"
32;"Behandlingscenter";1;"Institution der tilbyder ambulant behandling af misbrugsproblemer (stof og/eller alkohol)el. andre psykiske og fysiske lidelser.  Kommunalbestyrelsen skal tilbyde behandling af stofmisbrugere jf. Servicelovens § 101 ogalkoholbehandling jf. Sundhedslovens §141."
33;"Værested";1;"Sted hvor man kan komme, tilbringe tiden og møde andre især om opholdssted for fx børnog unge, hjemløse, psykisk syge el. narkomaner der kommer ind fra gaden og får rådgivnim.m. af frivillige"
34;"Sygeplejeklinik";1;"På sygeplejeklinikker tilbydes kommunale sygeplejeydelser. Sygeplejeydelser kan også tilbydes i borgerens eget hjem."
35;"Krisecenter";1;"Krisecentre tilbyder husly og støtte til kvinder og børn, der har været udsat for vold ellertrusler om vold i hjemmet. Man har mulighed for at bo på krisecentret i en kortere eller længere periode.   Tilbud om ophold på krisecenter er jf. servicelovens § 109."
98;"Øvrige tilbud";1;"Andet"
99;"Ukendt";1;"Ukendt"
