"part_type_kode";"part_type";"aktiv";"begrebsdefinition"
1;"Andelsboligforening";1;"En forening, der er stiftet med det formål at erhverve, eje og drive den ejendom, som foreningens medlemmer bor i."
2;"Borgerforening";1;"Forening af borger/beboer inden for et område. Dækker ofte mindre bysamfund/landsbyer. Kan også anvendes til grupper af borgere, der etablerer et lokalråd – fx til drift af badebro, afholdelse af lokale aktiviter m.m."
3;"Grundejerforening";1;"En grundejerforening er en sammenslutning af grundejere inden for et specifikt område. Grundejerforeningens formål er at varetage grundejernes fælles interesser i lokalområdet"
4;"Vejlav";1;"Lokale foreninger og organisationer, som har væsentlig interesse i afgørelse inden for vej- lovgivningen"
5;"Bygningsbevaringsforening";1;"Foreninger og lignende med lokalt tilhørsforhold, som har interesse i bevaringsspørgsmål"
6;"Haveforening";1;"Kolonihaver m.m."
7;"Almennyttig  boligforening";1;"Almennyttige boliger, sociale boliger, lejeboliger opført som offentlig støttet boligbyggeri";
8;"Museumsforening";1;"Lokale foreninger og organisationer, som har væsentlig interesse i afgørelse inden for Museumslovgivningen"
9;"Vandforsyningsforening";1;"Lokale foreninger og organisationer, som har væsentlig interesse i afgørelse inden for vandforsyningslovgivningen"
10;"Naturbeskyttelsesforening";1;"Lokale foreninger og organisationer, som har væsentlig interesse i afgørelse inden for miljø-, landbrug- og naturbeskyttelseslovgivningen"
11;"Rekreativ forening";1;"Lokale foreninger og organisationer, som har væsentlig interesse i afgørelse i forhold til rekreativ anvendelse"
98;"Andet";1;"Ingen af de andre passer entydigt på objektet."
99;"Uoplyst";1;"Mangler viden for at kunne udfylde feltet."
