"facilitet_kode";"facilitet";"aktiv";"begrebsdefinition"
1012;"Toilet";1;"WC i bygning, der er åbent for offentligheden."
1022;"Bålplads";1;"Afgrænset plads til bål eller grill til offentlig brug. Ikke alle bålsteder har grill-muligheden."
1031;"Legeplads";1;"En legeplads er et afgrænset sted udendørs, som er tilrettelagt for at børn kan lege der."
1041;"Naturlegeplads";1;"Legeplads ude i naturen typisk bygget med naturens egne matrialer. Træstammer og sten m.v."
1051;"Badestrand";1;"Område, der anvendes til badning."
1061;"Blå Flag strand";1;"Badeområde, der er tildelt Blå Flag."
1072;"Blå Flag facilitet";1;"Faciliteter til Blå Flag badestrande, f.eks. infostandere, redningsposter mm."
1082;"Spejderhytte";1;"Bygning, hvor en eller flere spejdergrupper holder til."
1091;"Friluftsbad/Svømmebad";1;"Område med et eller flere badebassinner, der kan være overdækket eller under åben himmel. Dækker også havnebad."
1102;"Slæbested";1;"Anlæg til ophaling eller isætning af mindre både, evt. med spil."
1112;"Motionsmødested";1;"Sted i bygning eller i naturen, hvor man mødes med andre motionister, som udgangspunkt for fælles motion."
1122;"Cykelpumpestation";1;"Opstillet cykelpumpe."
1132;"Tørvejrsrum";1;"Halvåbent, overdækket sted, hvor du kan raste og spise medbragt mad. Også kaldetmadpakkehus."
1142;"Virtuelt oplevelsespunkt";1;"Virtuelle oplevelsespunkter/Hotspots, som kan tilgås fx via apps eller lignende."
1152;"Info-tavle";1;"Opstillet skilt, planche eller tavle med information om et område og dets muligheder."
1162;"Cykelparkering";1;"Opstillet cykelstativ eller anden fast opstilling, der gør det muligt at parkere sin cykel."
1172;"Ladestationer";1;"Ladestationer til elbiler."
1182;"Turistinformation";1;"Kontor/lokaler, der har til formål at informere turister om lokalområdet."
1191;"Hundeskov/Hundepark";1;"Særligt udpeget og eventuelt indhegnet område for hundeluftning. Kommunale og private områder."
1201;"Picnic";1;"Plads med borde, siddepladser, evt. hængekøjer og andre ting til roligt ophold."
1211;"Vandlegeplads";1;"Legeplads med særlige redskaber og faciliteter til leg med vand."
1222;"Vandpost";1;"Offentligt tilgængeligt drikkevand. Kan være lukket om vinteren."
1232;"Trækfærge";1;"En trækfærge er en pram som er forbundet med en wire. Trækfærgen forbinder bredderne på en å eller et vandløb så man kan med egen trækkraft komme over på den anden side."
1242;"Livreddertårn";1;"Bemandet redningspost (rød og hvidstribet tårn) af specieluddannede kystlivreddere og udstyret med blandt andet hjertestartere, rescue boards og førstehjælpsudstyr."
1252;"Livredderpost";1;"Ubemandet redningspost der typisk indeholder: Vejlednig, 1 redningskrans, 1 sejldugstaske med 22o m nylon line, 2 redningsveste, 2 gjordbælter med karbinhage og evt. isstige og issyle."
2012;"Fugletårn";1;"Fugletårn er en indretning rejst ved en fuglelokalitet for at give offentligheden udsyn til områdets fugleliv og ofte skjule observatørerne således at fuglene ikke forstyrres."
2022;"Udsigtspunkt";1;"Punkt med en god udsigt. Ofte på toppen af en høj eller skrænt. Kan også være fra en bygning."
2031;"Fiskesø";1;"Put&take sø. Sted hvor man kan købe dagskort til at fiske efter udsatte fisk."
2041;"Rekreativt naturområde";1;"Naturområde hvor borgere kan opholde sig og rekreere. Fordybelsessted."
2051;"Park";1;"Grønt byområde anlagt med en blanding af buske, træer, blomster og græs."
2062;"Naturcenter";1;"Bygningsfacilitet som er udgangspunkt for offentlig naturformidling og aktivteter i et naturområde. Oftest med ansat personale."
2072;"Naturbase";1;"Plads i naturområde med mulighed for ophold, lån af grej, bålplads mm."
2082;"Naturskole";1;"Bygningsfacilitet med primært formål at facilitere naturaktiviteter og undervisning for skoler og institutioner o.lign."
2092;"Udstilling";1;"Offentlig tilgængelig formidling eller introduktion til et områdes natur- eller kulturforhold. Ofte placeret i mindre bygning eller vejrly."
2102;"Naturrum";1;"Bygning og støttepunkt for naturformidling efter Friluftsrådets koncept og definition."
2111;"Naturpark";1;"Naturpark af regional betydning, jf. mærkningsordning ved Friluftsrådet."
2121;"Nationalpark";1;"Nationalpark anerkendt af staten."
2132;"Kælkebakke";1;"Område med mulighed for at kælke, når der er snedække."
2141;"Terapihave";1;"Specielt indrettede haveanlæg med terapeutisk og stressforebyggende formål."
2151;"Spiselig vegetation";1;"Areal med offentligt tilgængelige spiselige planter, frugt, nødder, grønsager mm."
2161;"Oplevelsespunkt";1;"Plads i naturområde eller friluftsanlæg med mulighed for ophold, naturoplevelser, evt. lån af grej, bålplads, information mm. Herunder oplevelsespunkt i havne f.eks. kaldet Oplevelseshavn."
3012;"Shelter";1;"En lav træbarak, traditionelt åben på den ene langside, gulvet hævet ca. 0,5 m over jorden og stort tagudhæng, således at man er relativt beskyttet mod regn."
3022;"Kano overnatningsplads";1;"Kanorasteplads til kanofarer, med mulighed for overnatning."
3031;"Teltplads";1;"Sted til at slå telt op for overnatning."
3041;"Campingplads";1;"Overnatningssted til campingvogne og telte."
3051;"Hytter og Lejrskoler";1;"Udlejningshytter med plads til mange. Typiske med sovesale og storkøkken."
3061;"Feriecenter";1;"En samling ferielejligheder, der danner rammen om familiens ophold på feriecenteret, samt en række fælles faciliteter, hvor der tilbydes en bred vifte af aktiviteter."
4011;"Idrætshal";1;"Kaldes også for sportshal. Stor hal hvor i der kan dyrkes en eller flere former for fysisk sport."
4021;"Svømmehal";1;"Opvarmet svømmebassin inde i en bygning."
4031;"Idrætsanlæg";1;"Bane hvor på der kan dyrkes en eller flere former for fysisk sport, f.eks. atletik, fodbold, baseball mm."
4041;"Cykelbane";1;"Område til fx MTB og BMX."
4051;"Agilitybane";1;"Agilitybane er en hundesportsbane, hvor hundene skal tage en række forhindringer korrekt og i den rette rækkefølge."
