"certifi_k";"certifi";"aktiv";"begrebsdefinition"
0;"Ikke certificeret";1;"Ej certificeret"
1;"Premiumrute - rundvandrerute";1;"Vandrerute certificeret af Deutsches Wanderinstitut. https://www.wanderinstitut.de/deutsches- wandersiegel/premiumwegtypen/"
2;"Premiumrute - let-vandrerute";1;"Vandrerute certificeret af Deutsches Wanderinstitut. https://www.wanderinstitut.de/premium- spazierwanderwege/"
3;"Premiumrute - langdistancerute";1;"Vandrerute certificeret af Deutsches Wanderinstitut. https://www.wanderinstitut.de/deutsches-wandersiegel/premiumwegtypen/"
4;"Premiumrute - byvandrerute";1;"Vandrerute certificeret af Deutsches Wanderinstitut. https://www.wanderinstitut.de/premium- stadtwanderwege/"
5;"Leading Quality Trail";1;"Vandrerute certificeret efter European Ramblers Associaltions ordning. https://www.era-ewv-ferp.org/lqt/"
6;"Kvalitetssti - Vandresti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
7;"Kvalitetssti - Natursti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
8;"Kvalitetssti - Kultursti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
9;"Kvalitetssti - Gastronomisk  sti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
10;"Kvalitetssti - Familiesti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
11;"Kvalitetssti - Komfortsti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
12;"Kvalitetssti - Bysti";1;"Vandrerute godkendt af Dansk Vandrelaug https://dvl.dk/kvalitetssti/"
98;"Anden";1;"Anden certificering"
99;"Ukendt";1;"Mangler viden om certificering"
