"rute_uty_k";"rute_uty";"aktiv";"begrebsdefinition"
1;"Sundhedsspor";1;"Sundhedsspor er Naturstyrelsens landsdækkende koncept. Et sundhedsspor er en afmærket naturrute på 1-2½ km, som kan gås eller løbes på tid. Ved ruterne er der sat tavler op, som viser BMI og kondital ift. tid og alder."
2;"Kløversti";1;"Kløverstier er Friluftsrådets landsdækkende koncept. En Kløversti består af fire ruter, der alle udgår fra en centralt placeret Kløversti pæl. Hver af de fire ruter har en bestemt længde og farve, afmærket med Friluftsrådets Kløversti logo."
3;"Hjertesti";1;"Hjertestier er Hjerteforeningens landsdækkende koncept. En hjertesti er en afmærket motionsrute, hvor der langs ruten er opsat skilte med Hjerteforeningens logo."
4;"Spor i landskabet";1;"Spor i Landskabet er spor er ”Spor i Landskabets” landsdækkende koncept. Sporene bliver lavet på baggrund af en frivillig aftale med lodsejerne om vandreadgang på deres private jord. Sporene er normalt ikke markerede men skal findes via foldere/hjemmeside."
5;"Panoramarute";1;"Dagsture koblet på de nationale cykelruter. Ruten skal være en rundtur og være mellem 20 og 50 km lang."
6;"Cykelknudepunktsstrækning";1;"Del af konceptet Cykelknudepunktsnetværket. En linje, som repræsenterer de veje og stier som forbinder to cykelknudepunkter. OBS. faciliteten er ikke ibrugtaget! Cykelknudenetværket ligger indtil videre i 5608 0g 5609"
7;"De nationale cykelruter";1;"De nationale cykelstier er udpeget særligt cykelvenlige ruter ad veje og stier, der forbinder alle dele af landet fra syd til nord og fra øst til vest og cykelrundture. Formelt set skal kommuner ansøge Vejdirektoratet om lov til at ændre på ruteforløbet af de nationale cykelruter samt ved ønsket om at oprette en helt ny national cykelrute."
8;"Andet";1;"Andet"
9;"Ukendt";1;"Mangler viden om rutetype"
10;"Supercykelsti";1;"En supercykelsti er en cykelsti som er udformet for at øge cyklisternes fremkommelighed og komfort i trafikken. Formålet med supercykelstier er især at skabe bedre betingelser for cykelpendlere og dermed gøre cykeltransport til et mere attraktivt alternativ til bilen eller kollektiv transport. Supercykelstier er et samarbejde mellem kommuner og Region Hovedstaden."
11;"De nationale cykelruter - Dagsetape";1;"De nationale cykelruter, dagetaper, er en opdeling af de nationale cykelruter i etaper egnet til dagsture."
12;"Hærvejen";1;"Hærvejen er flere hundrede kilometer vandre- og cykelrute, der løber på langs ned gennem Jylland. Hærvejens sekretariat varetager den overordnede udvikling af Hærvejens vandre- og cykelruter i samarbejde med de 15 kommuner, der samarbejder i foreningen Udvikling Hærvejen."
13;"Kyst til Kyst Stien";1;"Kyst til Kyst Stien er en afmærket vandrerute på næsten 140 km, der er blevet til i et samarbejde mellem Varde, Vejen, Billund og Vejle Kommune og en lang række private lodsejere."
14;"Kongeåstien";1;"Kongeåstien er en 67 kilometer lang rute langs den gamle grænse. Ruten er skabt i samarbejde mellem Friluftsrådet, Vejen Kommune, Landdistrikter.dk, Den A. P. Møllerske Støttefond, Den Europæiske Landbrugsfond for udvikling af landdistrikterne, Ministeriet for Fødevarer, Landbrug og Fiskeri, Grøn Ordning."
15;"Nordsøstien";1;"Nordsøstien er en del af North Sea Trail og NAVE Nortail-projektet, hvor målet er at etablere vandreruter på gamle historiske spor rundt om hele Nordsøstien."
16;"Kyst til Kyst Stien, dagsetape";1;"Kyst til Kyst stien, dagsetaper, er den opdeling af Kyst til Kyst stien i etaper, der er egnet til dagsture."
