"kode";"tekst";"aktiv";"begrebsdefinition"
1;"A";1;"A-brandhanen er beregnet til opstilling på vandværksledninger med en vandføring på over 1.500 liter/min."
2;"B";1;"B-brandhanen er beregnet til opstilling på vandværksledninger med en vandføring på 800-1.500 liter/min. Den kan i øvrigt anvendes på alle vandværksledninger."
3;"C";1;"C-brandhanen er beregnet til opstilling på vandværksledninger med en vandføring på indtil 800 liter/min."
4;"Branddam";1;"Vandhul/sø hvor der kan pumpes vand op til brandslukning."
8;"Andet";1;"Anden type end ovenstående."
9;"Ukendt";1;"Mangler viden"
11;"I";1;"< 500 l / min"
12;"II";1;"< 1000 l / min"
13;"III";1;"< 1500 l / min"
14;"IIII";1;"> 1500 l / min"
