"esi_klasse_kode";"esi_klasse";"aktiv";"begrebsdefinition"
1;"Udsatte stejle klippekyster samt lodrette menneskeskabte konstruktioner";1;""
2;"Udsatte klippeskær og klippeflader";1;""
3;"Finkornet sandstrand";1;""
4;"Grovkornede sandstrande";1;""
5;"Blandede sand- og stenstrande";1;""
6;"Stenstrande og høfder, stenmoler og kystforstærkninger";1;""
7;"Udsatte tidevandsflader";1;""
8;"Beskyttede klippekyster, sten og uigennemtrængelige menneskeskabte konstruktioner (moler, kajer m.m.)";1;""
9;"Beskyttede tidevandsområder og strande med højt organisk indhold";1;""
10;"Strandengs- og marskområder";1;""
98;"Andet";1;"Anden strandtype"
99;"Ukendt";1;"Mangler kendskab til strandtype"
