"indsatstype_kode";"indsatstype";"aktiv";"begrebsdefinition"
1;"Regnvandsbassin ej tildelt type";1;"Regnvandsbassin ikke typeopdelt"
2;"Regnvandsbassin afspærringspunkt type 1";1;""
3;"Regnvandsbassin afspærringspunkt type 2";1;""
4;"Regnvandsbassin afspærringspunkt type 3";1;""
5;"Regnvandsudløb ej tildelt type";1;"Udløb af en regnvandsledning ikke typeopdelt"
6;"Regnvandsudløb uden forsinkelse type 1";1;""
7;"Regnvandsudløb uden forsinkelse type 2";1;""
8;"Vandløb afspærringspunkt ej tildelt type";1;"Godt punkt i vandløbet til oprensning af akut forurening ikke typeopdelt"
9;"Vandløb afspærringspunkt type 1";1;""
10;"Vandløb afspærringspunkt type 2";1;""
11;"Vandløb afspærringspunkt type 3";1;""
12;"Vandløb afspærringspunkt type 4";1;""
13;"Vej krydser vandløb, åbent";1;"Vejmidte og vandløbsmidte, åbent krydser hinanden eller er tættere end 5 meter"
14;"Vej krydser vandløb, rørlagt";1;"Vejmidte og vandløbsmidte, rørlagt krydser hinanden eller er tættere end 5"
15;"Brønd rørlagt vandløb";1;"Fritliggende brønddæksel til et rørlagt vandløb"
16;"Stigerør";1;"Fast rørinstallation i eller ved en bygning/område, som gør det muligt hurtigt og sikkert at få bragt slukningsvand frem til faste aftapningssteder"
98;"Andet";1;"Andet"
99;"Ukendt";1;"Manglende viden"
