"sua_kode";"sua_type";"aktiv";"begrebsdefinition"
1;"Festival";1;"Festival med flere koncerter m.v."
2;"Dyrskue";1;"Dyrskue"
3;"Forsamlingstelt";1;"Telt med master og barduner, stålramme eller lignende, der anvendes til forsamling af mange mennesker. Flere end 150 personer"
4;"Cirkus";1;"Cirkus flere end 150 personer"
5;"Koncert";1;"Store udendørs koncerter"
6;"Spejderlejr";1;"Spejderlejr med camping som ikke er omfattet af campingreglementet flere end 150 personer"
7;"Kræmmermarked";1;"Kræmmermarked"
8;"Camping";1;"Campingområde som ikke er omfattet af campingreglementet flere end 150 personer"
98;"Andet";1;"Hvor andet ikke er dækkende."
99;"Ukendt";1;"Mangler viden om typen."
