"geologi_kode";"geologi";"aktiv";"begrebsdefinition"
1;"A Moræne";1;"Er jord og løse klippestykker, der er blevet efterladt af en gletsjer."
2;"B Bakke ø";1;"En morænebakke som er dannet under næstsidste istid (Saale), og som rager op over det omgivende flade land."
3;"C Randmoræne";1;"En endemoræne, er en voldformet moræne opstået foran en gletsjer."
4;"D Dødis";1;"Ved tilbagerykning af en gletcher kan større isstykker brække af, som derved efterlades som dødis. Efterhånden som dødisen smelter sænkes den samlede landskabsoverflade i dødislandskabet. Aflejringerne er meget rodede på grund af, at frosne jordmasser smelter fri, brækker af og flyder mod lavere områder. Der efterlades et landskab med dødisrelief i form af vandfyldte dødishuller og afløbsløse lavninger. Disse fremstår i dag som områder præget af søer og moser."
5;"E Tunneldal";1;"opstår når floder af smeltevand eroderer landskabet under en gletsjer eller under Istidens islag i Danmark."
6;"F Ås";1;"Aflang bakke, typisk bestående af lagdelt sand og grus. En ås er oftest dannet ved, at meget af det materiale gletcherfloden normalt transporterer ud foran gletcheren i stedet aflejres inde under isen i smeltevandsfloden. I takt med ophobningen af aflejringer smelter floden sig længere op i isen, så sand- og grusaflejringerne efterhånden vokser sig større. Når isen er smeltet væk, fremstår en afstøbning af den tidligere smeltevandsflod. Der findes omkring 20 åse i Danmark. Mange er præget af råstofindvinding."
7;"G Hedeslette";1;"Hedesletter består af smeltevandsaflejringer afsat foran isfronten. Det er velsorterede aflejringer, der for det meste består af sand, men kan også være silt eller ler. En hedeslette er tilsyneladende flad, måske med enkelte enkelte erosionsdale, men i virkeligheden falder det topografiske niveau væk fra isranden."
8;"H Smeltevandsdal";1;"http://www.naturstyrelsen.dk/Planlaegning/Planlaegning_i_det_aabne_land/GeologiskeInteresser/"
9;"I Smeltevandsterasse";1;"http://www.naturstyrelsen.dk/Planlaegning/Planlaegning_i_det_aabne_land/GeologiskeInteresser/"
10;"J Isøbakke";1;"http://www.naturstyrelsen.dk/Planlaegning/Planlaegning_i_det_aabne_land/GeologiskeInteresser/"
11;"K Issølavning";1;"http://www.naturstyrelsen.dk/Planlaegning/Planlaegning_i_det_aabne_land/GeologiskeInteresser/"
12;"L Yoldia";1;"Yoldiaflader er områder med hævet havbund. I denne forbindelse er der tale om senglaciale havaflejringer, der er hævet over havniveau som følge af jordskorpens relative opløft, efter den er blevet frigjort for den tunge iskappe. Yoldiafladerne ses i Vendsyssel."
13;"M Marint forland";1;"Landområde, der ligger mellem den nuværende og en ældre kystlinje og er skabt af marine kræfter efter sidste istid."
14;"N Inddæmmet areal";1;"Arealer inddæmmet ved diger og tørlagt ved afvanding. Arealerne bliver hovedsagelig brugt til landbrugsdrift. Det er områder, som tidligere har været lavbundede fjorde og vige."
15;"O Marsk";1;"Marsk er aflejringer dannet ved sedimentation i tidevandszonen. Dette kan bl.a. iagttages ved vekslende lagtykkelser i jordprofilet."
16;"P Vade";1;"http://www.naturstyrelsen.dk/Planlaegning/Planlaegning_i_det_aabne_land/GeologiskeInteresser/"
17;"Q Højsande";1;"http://www.naturstyrelsen.dk/Planlaegning/Planlaegning_i_det_aabne_land/GeologiskeInteresser/"
18;"R Klit";1;"Klitter består af meget velsorteret sand."
19;"S Grundfjeld";1;"Krystalline bjergarter, som her i Danmark findes på Bornholm. Der kan over grundfjeld dannes jordbund, og alt efter bjergartens beskaffenhed kan jordbunden blive næringsrig eller -fattig."
20;"T Sprækkedal";1;"En stor 'spalte' ned i urfjeldet."
21;"U Alluvial kegle";1;"Alluvium er løst, ucementeret materiale som efterlades af floder eller gletsjere."
22;"V Mose";1;"Et vedvarende sumpet vådområde."
98;"Andet";1;"Andet"
99;"Ukendt";1;"Ukendt"
