"vedlhold_f_type_kode";"vedlhold_f_type";"aktiv";"vedlhold_f_ type_label";"begrebsdefinition"
101000;"Prydplæne";1;"GR1";"Branche element"
102000;"Brugsplæne";1;"GR2";"branche underelement"
102010;"Brugsplæne med lund";1;"GR2a";"branche underelement"
102020;"Brugsplæne med løgvækster";1;"GR2b";"branche underelement"
102040;"Brugsplæne med armering";1;"GR2d";"branche underelement"
103000;"Græsflade";1;"GR3";"branche element"
103010;"Græsflade med lund";1;"GR3a";"branche underelement"
103020;"Græsflade med løgvækst";1;"GR3b";"branche underelement"
103040;"Græsflade med armering";1;"GR3d";"branche underelement"
103060;"Græsflade - skillerabat";1;"GR3f";"lokal"
103070;"Græsflade - helle";1;"GR3g";"lokal"
104000;"Fælledgræs";1;"GR4";"branche element"
104010;"Fælledgræs med lund";1;"GR4a";"branche underelement"
104020;"Fælledgræs med løgvækst";1;"GR4b";"branche underelement"
104040;"Fælledgræs med armering";1;"GR4d";"branche underelement"
105000;"Sportsplæne";1;"GR5";"branche element"
105010;"Sportsplæne - Opvisningsbane";1;"GR5a";"lokal"
105020;"Sportsplæne - Kampbane";1;"GR5b";"branche underelement"
105030;"Sportsplæne - Træningsbane";1;"GR5c";"branche underelement"
105050;"Sportsplæne - Vinter";1;"GR5e";"branche underelement"
106000;"Rabatgræs";1;"GR6";"branche element"
106010;"Rabatgræs med lund";1;"GR6a";"lokal"
106020;"Rabatgræs med løgvækst";1;"GR6b";"lokal"
106030;"Rabatgræs med oversigtsareal";1;"GR6c";"lokal"
106040;"Rabatgræs med armering";1;"GR6d";"lokal"
106050;"Rabatgræs med grøftekant";1;"GR6e";"lokal"
106060;"Rabatgræs - skillerabat";1;"GR6f";"lokal"
107000;"Naturgræs";1;"GR7";"Branche element"
107010;"Naturgræs med lund";1;"GR7a";"lokal"
107020;"Naturgræs med blomster";1;"GR7b";"lokal"
107040;"Naturgræs med armering (p-pladser)";1;"GR7d";"lokal"
107070;"Naturgræs - biogræs";1;"GR7g";"lokal"
109010;"Institutionsgræs";1;"GR9a";"lokal"
109020;"Institutionsgræs med løg";1;"GR9b";"lokal"
109030;"Institutionsgræs med lund";1;"GR9c";"lokal"
109040;"Institutionsgræs med armering";1;"GR9d";"lokal"
121000;"Roser";1;"BL1";"Branche element"
122000;"Prydstauder";1;"BL2";"Branche element"
