"vedlhold_l_type_kode";"vedlhold_l_type";"aktiv";"vedlhold_l_label";"begrebsdefinition"
106110;"Rabatgræs - linje";1;"GR61a";"lokal"
106120;"Rabatgræs - skillerabat - linje";1;"GR61b";"lokal"
125050;"Kummer";1;"BL5e";"branche underelement"
126110;"Løgvækster - linje";1;"BL61b";"lokal"
141000;"Fladedækkende klatreplanter";1;"KL1";"Branche element"
181100;"Prydhæk - linje";1;"HA11";"branche element"
182100;"Hæk - linje";1;"HA21";"branche element"
182110;"Stammehæk";1;"HA21a";"lokal"
182130;"Hæk - gravsteder - linje";1;"HA21b";"branche underelement"
184100;"Fritvoksende Hæk - linje";1;"HA41";"branche element"
185110;"kvashegn - linje";1;"HA51a";"lokal"
242140;"Vandløb - linje";1;"NA21d";"Lokal (brancheelement Naturarealer)"
303000;"Grøft";1;"VA3";"branche element"
303030;"Vejgrøft";1;"VA3a";"lokal"
303040;"Dræn";1;"VA3c";"lokal"
403010;"Kantsten";1;"FB3a";"Lokal"
435000;"Terrænmur";1;"BY5";"branche element"
435010;"Stendige";1;"BY5a";"branche underelement"
435020;"Kampestensstøttemur";1;"BY5b";"branche underelement"
435030;"Kirkegårdsdige";1;"BY5c";"branche underelement"
443000;"Cykelstativ";1;"UD3";"lokal"
444120;"Sponsorskilt/banner";1;"UD41b";"lokal"
447100;"Plankeværk / rækværk";1;"UD71";"lokal"
447110;"Autoværn";1;"UD71a";"lokal"
447130;"Betonmur";1;"UD71b";"lokal"
447140;"Støttemur";1;"UD71c";"lokal"
447200;"Fodhegn";1;"UD72";"lokal"
447310;"Metal gelænder";1;"UD73a";"lokal"
447320;"Bom - linje";1;"UD73b";"lokal"
447410;"Saltværn";1;"UD74a";"lokal"
448000;"Trådflethegn";1;"UD8";"lokal"
448030;"Dyrehegn";1;"UD8c";"lokal"
448040;"Trådhegn";1;"UD8d";"lokal"
801010;"Div. forhindring - ej pleje";1;"FO1a";"lokal"
961015;"Tagrender";1;"RE1f";"lokal"
971020;"Biodiversitet øvrig";1;"BD1b";"lokal"
981020;"Andet";1;"AN1b";"lokal"
982020;"Andet ansvar";1;"AN2b";"Lokal, Anvend kun, hvis ansvar er uddelegeret til andre (fx en spejdertrup. Brug kun, hvis der ikke er behov for at  registrere  plejeelementer på  geometrien."
999020;"Ukendt";1;"UK9b";"lokal"
