"traebetegn_kode";"trae_slaegt_latin";"trae_art_latin";"traebetegn_dansk";"beskrivelse"
1000000;"Abies";"Ikke oplyst";"Ædelgran - art ikke oplyst";""
1000001;"Abies";"alba";"Almindelig ædelgran";""
1000002;"Abies";"nordmanniana";"Nordmannsgran";""
1000003;"Abies";"grandis";"Kæmpegran";""
1000004;"Abies";"procera";"Sølvgran";""
1009999;"Abies";"Anden abies";"Ædelgran - anden art";""
1010000;"Acer";"Ikke oplyst";"løn - art ikke oplyst";""
1010001;"Acer";"campestre";"Navr";""
1010002;"Acer";"platanoides";"Spidsløn";"Anbefalet gade og vejtræ"
1010003;"Acer";"pseudoplatanus";"Ahorn / Ær";"Anbefalet gade og vejtræ"
1010004;"Acer";"negundo";"Askbladet løn";""
1010005;"Acer";"rubrum";"Rød løn";""
1010006;"Acer";"saccharinum";"Sølvløn";""
1019999;"Acer";"Anden acer";"Løn - anden art";""
1020000;"Aesculus";"Ikke oplyst";"Sæbetræ - art ikke oplyst";""
1020001;"Aesculus";"hippocastanum";"Almindelig hestekastanie";""
1020002;"Aesculus";"carnea";"Rød hestekastanie";""
1029999;"Aesculus";"Anden aesculus";"Sæbetræ - anden art";""
1030000;"Alnus";"ikke oplyst";"El - art ikke oplyst";""
1030001;"Alnus";"glutinosa";"Rødel";""
1030002;"Alnus";"Incana";"Grå-el/hvid-el";""
1030003;"Alnus";"cordata";"Hjertebladet el";""
1039999;"Alnus";"Anden alnus";"El - anden art";""
1040000;"Betula";"ikke oplyst";"Birk - art ikke oplyst";""
1040001;"Betula";"pendula";"Hænge, -vorte eller fligetbaldet birk";""
1040002;"Betula";"pubescens";"Dunbirk";""
1049999;"Betula";"Anden betula";"Birk - anden art";""
1050000;"Carpinus";"ikke oplyst";"Avnbøg - art ikke oplyst";""
1050001;"Carpinus";"betulus";"Almidelig Avnbøg";"Anbefalet gade og vejtræ"
1059999;"Carpinus";"Anden carpinus";"Avnbøg - anden art";""
1060000;"Castanea";"ikke oplyst";"Ægte Kastanje - art ikke oplyst";""
1060001;"Castanea";"sativa";"Ægte Kastanje";""
1069999;"Castanea";"Anden castanea";"Ægte Kastanje - anden art";""
1070000;"Corylus";"Ikke oplyst";"Hassel - art ikke oplyst";""
1070001;"Corylus";"colurna";"Tyrkisk Hassel";""
1079999;"Corylus";"Anden corylus";"Hassel - anden art";""
1080000;"Crataegus";"Ikke oplyst";"Tjørn - art ikke oplyst";""
1080001;"Crataegus";"crus-galli";"Hanesporetjørn";""
1080002;"Crataegus";"laevigata";"Fyldt hvidtjørn";""
1080003;"Crataegus";"monogyna";"Engriflet hvidtjørn";""
